"Orthogroup"	"recipient_protein"	"selected_donor_sister_tiplabels"	"selected_donor_cousin_tiplabels"	"all_sister_tiplabels"	"all_cousin_tiplabels"	"sister_node_support"	"cousin_node_support"
"MOG0000002"	"1257118_ACANB08020_t1"	""	""	"670386_D3BF71_HETP5,670386_D3BR92_HETP5"	"Euryarchaeota_668570_A0A2V2MZH2_9EURY"	"80"	"91"
"MOG0000002"	"1257118_ACANB02193_t1"	""	""	"670386_D3BF71_HETP5,670386_D3BR92_HETP5,Euryarchaeota_668570_A0A2V2MZH2_9EURY"	"5786_F0ZEL3_DICPU,670386_D3AYA0_HETP5,670386_D3B354_HETP5,670386_D3B393_HETP5,670386_D3B3A8_HETP5,670386_D3BNZ3_HETP5"	"91"	"64"
"MOG0000002"	"1257118_ACANB00988_t1"	""	""	"133409_A0A8J4PJ50_9MYCE,133409_A0A8J4PM13_9MYCE,133409_A0A8J4PP80_9MYCE,133409_A0A8J4PSX7_9MYCE,133409_A0A8J4V4K8_9MYCE,261658_F4PGH4_CACFS,261658_F4PGM8_CACFS,261658_F4PGN3_CACFS,261658_F4PSV8_CACFS,261658_F4PVN0_CACFS,44689_Q54UH2_DICDI,44689_Q54UH3_DICDI,44689_Q559Q3_DICDI,5786_F0Z8B8_DICPU,5786_F0Z8B9_DICPU,5786_F0ZYW2_DICPU,670386_D3BS42_HETP5"	"99112_GWHPBHPU022945"	"35"	"39"
"MOG0000002"	"1257118_ACANB15796_t1"	""	""	"133409_A0A8J4PJ50_9MYCE,133409_A0A8J4PM13_9MYCE,133409_A0A8J4PP80_9MYCE,133409_A0A8J4PSX7_9MYCE,133409_A0A8J4V4K8_9MYCE,261658_F4PGH4_CACFS,261658_F4PGM8_CACFS,261658_F4PGN3_CACFS,261658_F4PSV8_CACFS,261658_F4PVN0_CACFS,44689_Q54UH2_DICDI,44689_Q54UH3_DICDI,44689_Q559Q3_DICDI,5786_F0Z8B8_DICPU,5786_F0Z8B9_DICPU,5786_F0ZYW2_DICPU,670386_D3BS42_HETP5"	"99112_GWHPBHPU022945"	"35"	"39"
"MOG0000002"	"1257118_ACANB09018_t1"	""	""	"133409_A0A8J4PJ50_9MYCE,133409_A0A8J4PM13_9MYCE,133409_A0A8J4PP80_9MYCE,133409_A0A8J4PSX7_9MYCE,133409_A0A8J4V4K8_9MYCE,261658_F4PGH4_CACFS,261658_F4PGM8_CACFS,261658_F4PGN3_CACFS,261658_F4PSV8_CACFS,261658_F4PVN0_CACFS,44689_Q54UH2_DICDI,44689_Q54UH3_DICDI,44689_Q559Q3_DICDI,5786_F0Z8B8_DICPU,5786_F0Z8B9_DICPU,5786_F0ZYW2_DICPU,670386_D3BS42_HETP5"	"99112_GWHPBHPU022945"	"35"	"39"
"MOG0000002"	"1257118_ACANB03673_t1"	""	""	"133409_A0A8J4PJ50_9MYCE,133409_A0A8J4PM13_9MYCE,133409_A0A8J4PP80_9MYCE,133409_A0A8J4PSX7_9MYCE,133409_A0A8J4V4K8_9MYCE,261658_F4PGH4_CACFS,261658_F4PGM8_CACFS,261658_F4PGN3_CACFS,261658_F4PSV8_CACFS,261658_F4PVN0_CACFS,44689_Q54UH2_DICDI,44689_Q54UH3_DICDI,44689_Q559Q3_DICDI,5786_F0Z8B8_DICPU,5786_F0Z8B9_DICPU,5786_F0ZYW2_DICPU,670386_D3BS42_HETP5"	"99112_GWHPBHPU022945"	"35"	"39"
"MOG0000002"	"1257118_ACANB02162_t1"	""	""	"133409_A0A8J4PJ50_9MYCE,133409_A0A8J4PM13_9MYCE,133409_A0A8J4PP80_9MYCE,133409_A0A8J4PSX7_9MYCE,133409_A0A8J4V4K8_9MYCE,261658_F4PGH4_CACFS,261658_F4PGM8_CACFS,261658_F4PGN3_CACFS,261658_F4PSV8_CACFS,261658_F4PVN0_CACFS,44689_Q54UH2_DICDI,44689_Q54UH3_DICDI,44689_Q559Q3_DICDI,5786_F0Z8B8_DICPU,5786_F0Z8B9_DICPU,5786_F0ZYW2_DICPU,670386_D3BS42_HETP5"	"99112_GWHPBHPU022945"	"35"	"39"
"MOG0000002"	"1257118_ACANB02847_t1"	""	""	"133409_A0A8J4PJ50_9MYCE,133409_A0A8J4PM13_9MYCE,133409_A0A8J4PP80_9MYCE,133409_A0A8J4PSX7_9MYCE,133409_A0A8J4V4K8_9MYCE,261658_F4PGH4_CACFS,261658_F4PGM8_CACFS,261658_F4PGN3_CACFS,261658_F4PSV8_CACFS,261658_F4PVN0_CACFS,44689_Q54UH2_DICDI,44689_Q54UH3_DICDI,44689_Q559Q3_DICDI,5786_F0Z8B8_DICPU,5786_F0Z8B9_DICPU,5786_F0ZYW2_DICPU,670386_D3BS42_HETP5"	"99112_GWHPBHPU022945"	"35"	"39"
"MOG0000002"	"1257118_ACANB14714_t1"	""	""	"133409_A0A8J4PJ50_9MYCE,133409_A0A8J4PM13_9MYCE,133409_A0A8J4PP80_9MYCE,133409_A0A8J4PSX7_9MYCE,133409_A0A8J4V4K8_9MYCE,261658_F4PGH4_CACFS,261658_F4PGM8_CACFS,261658_F4PGN3_CACFS,261658_F4PSV8_CACFS,261658_F4PVN0_CACFS,44689_Q54UH2_DICDI,44689_Q54UH3_DICDI,44689_Q559Q3_DICDI,5786_F0Z8B8_DICPU,5786_F0Z8B9_DICPU,5786_F0ZYW2_DICPU,670386_D3BS42_HETP5"	"99112_GWHPBHPU022945"	"35"	"39"
"MOG0000002"	"1257118_ACANB15100_t1"	""	""	"10090_CATH_MOUSE,10116_CATH_RAT,1169540_A0A0G4EZJ7_VITBC,13333_W1PUC0_AMBTC,13397_XP_041031146.1,13616_F6RXJ3_MONDO,13818_A0A9D4U2B2_ADICA,13818_A0A9D4VAL2_ADICA,1480154_A0A176W971_MARPO,1764295_A0A5B8MWJ5_9CHLO,1961234_KAL3625299.1,2081491_A0A8J5XTE7_DIALT,223100_maker-HiC_scaffold_10-pred_gff_AUGUSTUS-gene-1384.2-mRNA-1,227904_GWHPDOMV011194,2315210_A0A2R5GUZ8_9STRA,267555_A0A328DK14_9ASTE,27687_A0A8C4XGS9_ERPCA,2790670_A0A9P3N3S6_9VIRI,2843483_GWHPDONJ009738,2874248_GWHPDONK010831,2880_D7FQ96_ECTSI,2903_R1DS37_EMIHU,2903_R1E562_EMIHU,2951_A0A1Q9E0P4_SYMMI,29760_A5CBB3_VITVI,2983908_Mvickermani_transcript06467.p1,2983909_Mspyraenae_transcript05884.p1,312017_I7LV14_TETTS,312017_I7MEJ2_TETTS,312017_Q23EG5_TETTS,312017_Q23EG6_TETTS,312017_Q23TW2_TETTS,312017_Q23TW3_TETTS,312017_Q23TW5_TETTS,312017_Q24HI2_TETTS,3225_A0A8T0H2N2_CERPU,337451_A0A3S3R602_9MAGN,3562_A0A9R0KC80_SPIOL,3702_AT3G45310.1,3702_AT5G60360.3,37360_A0A0G4IRU2_PLABS,374723_A0A830B4C1_9LAMI,3972_VaGs19196,397392_XP_057967619.1,4081_A0A3Q7H8G2_SOLLC,4081_A0A3Q7H940_SOLLC,4081_CYSP3_SOLLC,41045_A0A8K1FS13_PYTOL,4170_A0A5A7PTB9_STRAF,4170_A0A5A7QHA3_STRAF,41880_A0A830HD86_9CHLO,4558_C5XDR4_SORBI,4787_A0A833SQZ0_PHYIN,483367_KAJ1632821.1,51298_A0A7J7RT31_MYOMY,5949_A0A078A0L4_STYLE,5949_A0A078AGK0_STYLE,68872_A0A9N7NU38_STRHE,68872_A0A9N7R495_STRHE,69068_GWHPBHPT004743,69068_GWHPBHPT019829,69068_GWHPBHPT019830,69332_A0A388KPR2_CHABU,7719_F6WXG6_CIOIN,7739_A0A9J7MHY8_BRAFL,78542_GWHPBHPV014754,7888_XP_043933651.1,7897_H3A9Q4_LATCH,7918_W5NAF9_LEPOC,7955_Q6NWF2_DANRE,88036_D8R184_SELML,88036_D8S1F5_SELML,9031_A0A8V0YP97_CHICK,905079_L1J9D8_GUITC,9258_A0A6I8P9X0_ORNAN,9606_CATH_HUMAN,99112_GWHPBHPU028644"	"2951_A0A1Q9CAT1_SYMMI,461836_A0A0L0DQA8_THETB,667725_A0A0L0G3L4_9EUKA"	"62"	"71"
"MOG0000002"	"1257118_ACANB10825_t2"	""	""	"10090_CATH_MOUSE,10116_CATH_RAT,1169540_A0A0G4EZJ7_VITBC,13333_W1PUC0_AMBTC,13397_XP_041031146.1,13616_F6RXJ3_MONDO,13818_A0A9D4U2B2_ADICA,13818_A0A9D4VAL2_ADICA,1480154_A0A176W971_MARPO,1764295_A0A5B8MWJ5_9CHLO,1961234_KAL3625299.1,2081491_A0A8J5XTE7_DIALT,223100_maker-HiC_scaffold_10-pred_gff_AUGUSTUS-gene-1384.2-mRNA-1,227904_GWHPDOMV011194,2315210_A0A2R5GUZ8_9STRA,267555_A0A328DK14_9ASTE,27687_A0A8C4XGS9_ERPCA,2790670_A0A9P3N3S6_9VIRI,2843483_GWHPDONJ009738,2874248_GWHPDONK010831,2880_D7FQ96_ECTSI,2903_R1DS37_EMIHU,2903_R1E562_EMIHU,2951_A0A1Q9E0P4_SYMMI,29760_A5CBB3_VITVI,2983908_Mvickermani_transcript06467.p1,2983909_Mspyraenae_transcript05884.p1,312017_I7LV14_TETTS,312017_I7MEJ2_TETTS,312017_Q23EG5_TETTS,312017_Q23EG6_TETTS,312017_Q23TW2_TETTS,312017_Q23TW3_TETTS,312017_Q23TW5_TETTS,312017_Q24HI2_TETTS,3225_A0A8T0H2N2_CERPU,337451_A0A3S3R602_9MAGN,3562_A0A9R0KC80_SPIOL,3702_AT3G45310.1,3702_AT5G60360.3,37360_A0A0G4IRU2_PLABS,374723_A0A830B4C1_9LAMI,3972_VaGs19196,397392_XP_057967619.1,4081_A0A3Q7H8G2_SOLLC,4081_A0A3Q7H940_SOLLC,4081_CYSP3_SOLLC,41045_A0A8K1FS13_PYTOL,4170_A0A5A7PTB9_STRAF,4170_A0A5A7QHA3_STRAF,41880_A0A830HD86_9CHLO,4558_C5XDR4_SORBI,4787_A0A833SQZ0_PHYIN,483367_KAJ1632821.1,51298_A0A7J7RT31_MYOMY,5949_A0A078A0L4_STYLE,5949_A0A078AGK0_STYLE,68872_A0A9N7NU38_STRHE,68872_A0A9N7R495_STRHE,69068_GWHPBHPT004743,69068_GWHPBHPT019829,69068_GWHPBHPT019830,69332_A0A388KPR2_CHABU,7719_F6WXG6_CIOIN,7739_A0A9J7MHY8_BRAFL,78542_GWHPBHPV014754,7888_XP_043933651.1,7897_H3A9Q4_LATCH,7918_W5NAF9_LEPOC,7955_Q6NWF2_DANRE,88036_D8R184_SELML,88036_D8S1F5_SELML,9031_A0A8V0YP97_CHICK,905079_L1J9D8_GUITC,9258_A0A6I8P9X0_ORNAN,9606_CATH_HUMAN,99112_GWHPBHPU028644"	"2951_A0A1Q9CAT1_SYMMI,461836_A0A0L0DQA8_THETB,667725_A0A0L0G3L4_9EUKA"	"62"	"71"
"MOG0000002"	"1257118_ACANB09118_t1"	""	""	"2903_R1CQH8_EMIHU,2903_R1DUE2_EMIHU,81824_A9V824_MONBE,946362_F2U084_SALR5,946362_F2UB19_SALR5"	"1890364_A0A2P6NE53_9EUKA,1890364_A0A2P6NZ40_9EUKA"	"55"	"76"
"MOG0000002"	"1257118_ACANB10468_t1"	""	""	"2903_R1CQH8_EMIHU,2903_R1DUE2_EMIHU,81824_A9V824_MONBE,946362_F2U084_SALR5,946362_F2UB19_SALR5"	"1890364_A0A2P6NE53_9EUKA,1890364_A0A2P6NZ40_9EUKA"	"55"	"76"
